identifier,papertitle,date,"bag of words"
http://resolver.kb.nl/resolve?urn=KBPERS01:003051010:mpeg21:a00106,"Stichting Algemeen Dagblad",1986-03-12,"1983 32 34 aan achtergrond acties af al aldus aldus alleen als als als amsterdam amsterdamse andere autoriteiten autoriteiten bedreigd bedreigd beide belang belfast bennekom bennekom beschouwd bestrijdt bevrijdingspogingen bewaakte bewaker bewakers bewijzen bij bij blijken bloemendaal bloemendaal bomaanslag bomaanslagen bovendien branden brendan brendan britse britse britse britten burgers daar daarom dan dat dat dat dat dat dat dat de de de de de de de de de de de de de de de de de de de de de de de de delicten die die die die die discussie dit dood door door doorgaan doorgaan echter een een een een een een een eeuwen en en en en en enkele er er er eventuele eventuele feiten foto foto franken franken gebruik geen genoeg gepleegd gepleegd gerard gerard gerechtvaardigd gericht geval gevangen gevangenbewaarders gevangenbewaarders gevraagd geweld gewone gezocht gezocht gisteren gisteren gisteren grond grond grootbrittanië handboeien handen hebben hebben hem hen het het het het het hielden hier hij hij hun hun hun hun hun hun hun hun ierse ik ik in in in in in in in in ingegeven ira iraleden iraleden iraleden iralid iralid is is is is is is is is juridische justitie justitie kan kelly kelly kelly kon kunnen kunnen laat laatste land leo leo levenslang levenslange los loyalisten maar maar macfarlane maken maken mazegevangenis mazegèvangenis mcfarlane mcfarlane mcfarlane mcfarlane mcfarlanehandboeien mcfarnane medegevangenen mee meent meer men met met met met misdrijvenmoeten moet moeten moeten moeten mogen moord motieven motieven mr mr mr mr na na na nauwelijks nederland nemen niemand niet niet niet niet niets noordierland of of officier om omdat omdat omdat omdat omkwam onaangetast ons onschuld onschuldige ontsnapping ontsnapten ontspon onzer ook op op op opgesloten over over overgaan overheersing paleis politieke politieke politieke politieke raadsman raadsman rechtbank rechtspraak rechtvaardige rekenen respectievelijk slachtoffers straf strafbare straffen strijd strijd strijdt te te tegen tegen tegen tenzij ter terug teruggetrokken tot tot totdat twee twee uit uit uit uit uit uitbraak uitlevering uitlevering uitlevering uitlevering uitzitten uitzitten uitzitten vallen van van van van van van van van van van van van van van van verband verdragen vergeefs vergrijpen verklaringen vermeden veroordeeld veroordeeld veroordeling veroordeling verslaggevers verweet verzocht vindt vogelzang vogelzang vol volgens volgens volgens vond voor voor voor voor voor voorgelezen vraag vrijheidsstrijd vrijheidsstrijd vrijkom w w w waar waaruit waarvoor waren was we wegens werd werden werden wereld wie wil worden worden worden worden wraakacties zaak zal zelfs zich zich zij zij zij zij zij zij zijn zijn zijn zijn zijn zijn zijn zittende zoals zou zou zouden zoveel zowel zwaar"
http://resolver.kb.nl/resolve?urn=KBPERS01:003060001:mpeg21:a00052,"Stichting Algemeen Dagblad",1986-09-01,"03 1 125 18000 22jarige _ aan aan aantal al alarm aldus aldus aldus als als altes apparaatjes avroradio bakolie behandeling beschuldigende betekenen beveiliging bewaarders bewaring bezoek bezuinigingen boezem burg burg bus cda cda daarvoor dacht dat dat dat dat dat dat dat dat de de de de de de de de de de de de de de de de de delen demissionair den den der der detectiepoortjes deze dezelfde die die die dient ede een een een een een eigen eiste en en en er ernstig fatale fractie gedaan gedetineerden gelden gevangenen gevangenen gevangenen gevangenis gevangenisdirecties gevangenispersoneel gevangeniswezen gevolg gevolgen gewond gisteren gisteren graaf gulden haag haagse haagse hand hebben hebben heen hemel hen het het het het het het hij hij hij hij huis hun in in in in in in informateur inrichtingen jaarlijksin jaren je je justitie justitie kamer kan keren kokende komen kortevan korthals kosto kosto kreeg kreeg krijgen kun kunnen kunnen laten lijve maar meer meevalt mensen met miljard minder minister minister minister moet moet moeten mogelijkheden naar namens ncrvradio niet niet niettemin nogal of of of om ongewenste ontdekt ontsnappingen ontsnappingsgevaarlijk ontsnapt ontsnapt onze ook op op over pauline personeel pogingen politie procent procent pvda pvdatweedekamerlid raakte redactie rustig slaan spakenburg staatssecretaris standpunt steken straf strenger te te te toen toen toezicht tot tweede tweedekamerlid uit uitbraak uitzitten van van van van van van van vararadio verantwoorden verbeteren verblijven verwacht vinger viskraam visverkoopster voor voor voor voor voor voorwerpen waarmee waarmee waarschuwt was weekeinde weet weinig wijzen worden zag zeer zei zei zei zich zich zij zij zij zij zijn zijn zijn zijn zullen"
http://resolver.kb.nl/resolve?urn=KBPERS01:003060005:mpeg21:a00071,"Stichting Algemeen Dagblad",1986-09-05,"1 2225 aan aandacht aanleiding aantal afgelopen anderen anderen besteed beter beveiligen beveiliging dat de de de de dit een er f gaan gevangenissen gevanissen gewelddadige hierover hilversum in justitie korthalsaltes leiden maar met minister naar nederland nederlandse nu om onder ontsnappingen onze op praat radioen stemmen te televizier televizier tijd tot tvredactie uitbraakpogingen uur van van van van vrezen weer wordt zal"
http://resolver.kb.nl/resolve?urn=KBPERS01:003060005:mpeg21:a00222,"Stichting Algemeen Dagblad",1986-09-05,"0375 0375 1 11 11680 1273 190 191971 2 2125 26koppige 304 3375 3838 3875 418 5 58 82800 aandelen aandelen aandelen aandelenbeurs aankwam achterstallig achterstallige actie afkomstig aldus alleen allen allied andere anderen anp april automobielfondsen autoverkopen bang barometer beloond bemanning bemanningsleden bereid beslag betere bij birma bod bond canada cheun china chinese chrysler cijfers computeraandelen coördinatie daar dag dat dat de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de die die dig dit dit dollar dollarkoers door dow druk een een een een een een eigenaar eind eind eindigde en en en en en en en eq er erbij everdawn everdawn f feest filippijnen fonds fonds fondsen ford gaan gaan gaf gage genoegen genoteerde geruchten geschiedenis geslaagde gestegen getrokken gisteren gm groep haargroeimiddel handel handen hebben heeft helft het het het hongkong hp hun hun hun ibm in in in in in in in in in in in in index internationale is is itf itf jaar jc jones kmark koers koers koers koers kolossaal komen kon krijgen kwam lagen laten laten leggen leiding liberiaanse licht loon maashaven mang mee meegetrokkenevenals meer meet met met met met met met met met met met met miljoen miljoen mogelijke naar negen nemen new niet nieuw nog om om omhoog omzet onder onder onder ontmoeting onverbiddelijk onvveranderd ook ook ook op op op op op opening openingsschot opgelopen opnieuw oud over over over over over overigen penny plus plus praten punten punten r record record recordniveau rederij rederij repatriëring represailles rotterdam rotterdam rotterdam rotterdamse ruim ruim ruim schreef slechts steeg steeg steeg stores street stuk te te thans thuis toe toegestemd toestemming toezegging ton tonnieuw tot touwen touwen twee uit uit uitbetaald uitbraak upjohn vaderland van van van van van van van van van van van van van van van van vanaf vano varende verdeeld verhandelde verkopen verlies vertegenwoordiger vijf vlag volgens voor voor voor waartoe wall waren waren warenhuisfondsen was was was weekend wegens werd werden wil winst won wreef york yuen zag zakten ze zeeliedenbond zich zij zijn zijn zullen ƒ"
http://resolver.kb.nl/resolve?urn=KBPERS01:003042020:mpeg21:a00140,"Stichting Algemeen Dagblad",1986-06-24,"1 17jarig 1984 20 20 43jarige aan aandeel aanzienlijk adviseerde afgelopen afrika als andere arne arrestatie beramen beschouwd bewaking britse broer buitenaf dat dat de de de de de de de de de de de de de de de de de de de de de de de defensiegeheimen destijds deze die die die die die diplomaat diplomaten door door door drammen een een een een een een een een een een een een een en en en en en ervan evenals f flat gaan gambia gambia gambiaan gat gearresteerd geen geldbedrag gesloten gespeeld gesteld gevangene gevangenis gevangenis gevangenis gevangeniscomplex gevonden gingen gisteren goede had had had heeft heeft hem hem heropening het het het het het het het hij hij hulp hun i iffsifsllffe iir ilagevangenis in in in in in in in informatie is is ivoor jaar jaar jaar januari journalist journalist jover jverteld kan kennen kon kwartfinale l laanklager landen lang lasse lassst leerde lf lil maken man mannen medeplichtigen meisje meisje men met met minder minder mogelijke mogelijke na naar naar naar nadelen navo niet nippertje noorse noorse noorse noorse noorse noorse noorse noorwegen of omheining onderhandelen ondervinden ondervraagd ontsnapping ontsnappingspoging ontsnappingspogingen op op op op openbare oslo oslo oslo over over paspoorten plannen politie politie politie politie politie proces proces psychiater qvigstad qvigstad reuter sa senegal sowjetunie spanje spionage streng streng te tegen tegen tien tijdelijk tot treholt treholt treholt treholt treholt treholt treholt treholt treholt treholt treholt treholt treholts twee twee twee uit uit uit uitbraakplannen uitbraakpoging van van van van van van van van van van vanuit vanwege veelbelovend veelbelovendste veiligheidsdienst verbleef verhinderd verlof verlof veroordeeld veroordeeld veroordeeld vertrouwelijke vervalste vervolgens via vluchten vluchten voerde voetbal voeten volgens volgens volgens voor voor voor voor voorlopig voormalige vorig vriend vrije vrouw waar was wegens werd werd werden wereldkampioenschap westafrikaanse wilde wilde willen worden worden yi zal zaten zaterdagavond zei zij zij zij zijn zijn zijn zijn zijn zijn zondagnacht zou zouden zweden ö"
http://resolver.kb.nl/resolve?urn=KBPERS01:003047002:mpeg21:a00030,"Stichting Algemeen Dagblad",1986-12-02,"100000 100000 1099 1987 1989 1990 200 21 300 396 40000 550000 650000 920 aan aan aan aan aan aanbevolen aandacht aangezien aanleiding aanpak aanslagen academici achter advertentiepagina advertenties advertenties ae af agressiever al al al alleen als als als als alsof altijd amemet american amerikaan amerikaan amerikanen amerikanen amerikanen amerikanen amerikanen amerikanen amerikanen amerikanen amerikanen amerikanen amerikanen amsterdam amsterdam amsterdam amsterdam amsterdam amsteriam andere anders angeles angst angst angst arnhem artikelen avenue baat beeld beetje begint begint beicheiden bemiddelde benijdenswaardige bent bent bepaald beschikking beste bestemmingen betaald beter bewerken bezoeken bezoekers bezoekers bij bij bij bij bij bij binnen blijven boven bovendien braaf brave breken brengen broedplaatsen brugtever building buiten bureau bureau burgemeester californië campagne campagne can chicago chicago chicago chronicle clichés daar daar daar daar daardoor daarom daarom daaruit dan dan dan dan dan dat dat dat dat dat dat dat dat dat dat dat dat dat dat dat de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de degin den denkt derfde details deweg deze deze dicht die die die die die die dijken dik directeur directeur doen doet dollar dollar dood door door door drugs druppel druppel dus dus e ebracht edammer een een een een een een een een een een een een een een een een een een een een een een een een eenmaal eigenlijk elk elt empire en en en en en en en en en en en en en en en en enkele enrooral er erg erg ergens etages eten europa europa europa europa eveneens express feestdagen feestdagen fiets film florida francisco freepublicity gaaf gaan gaat garanderen gaten gaven gebracht gedacht gedeeltelijk geen geen geen geen gehandhaafd geijkte gekregen geld gelegd gelijkenis gelooft geloven gemakkelijke genoeg geopend gerard gesteldde getracht gevoelig gevoelig gevoerd gevolg gevolge gevolgen gevraagd gevraagd geweest geweest gewelddadige geziene gloeiende goed goedkoper gogh golf guarantee gulden gulden gulden gulden gulden gulden gulden gulden gulden gunst hand hebben hebben hebben hebben heeft heeft heeft heeft heeft heel heel heet hem het het het het het het het het het het het het het het het het het het het het het hevig hier hier hier hier hij hij hij hodes hodes hodes hodes hodes hodes hodes hodes hodes hodes hodes holland holland hollandse hoofdstad horen houston huis huishoudt hun idee idee ie iedereen ijzige ik in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in inderdaad industrie inkomsten intussen inwoners is is is is is is is is j j jaar jaar jaar jaar jaar jaar jaarlijks je je je je je je je je je je jenet journalisten kaasjes kan kantoor kantoor kantoren kapitaalkrachtige keer keren kinderporno klm klompen klompjes kneedbommen komen komend komende kommervolle koopje kop kopenhagen kortste kost kost kou kranten kranten krijgen kun kunnen kunnen kunt kunt laar land land land land land land land land lang laten legt lekker lexington libische liefst ligt ligt lijf lof lopen los luchtvaartmaatschappijen luchtvaartmaatschappijen lukken maar maar maastricht manhattan manier martinair mede mee mee meer meer meer meer meer meer meesterschilders mensen mensen mensen met met met met met met met meteen miami miljard miljoen miljoen miljoen miljoen misschien mist misverstanden mode mode moeilijk moet moet moet moet moet moet mogelijkheden molens molens molentjes na naar naar naar naar naar nadruk natuurlijk nauwelijks nbt nbt nbt nbt nbt nbt nederand nederland nederland nederland nederlands nederlands nedt new new new new new new new new new niet niet niet nieuwe nieuwe nieuwe nieuwe nog nog nog noordamerika noordamerlka nu of of of of of of of ogen ogen om om om om om om omgerekend omstandigheden onder onder onder onderzoeken ongeveer ongeveer onomwonden onophoudelijk ons ons ons ons ons ons ons ons ons ons ons ons ontvankelijk ontwikkeling onvoorwaardelijk onze onze onze onze oogstte ook ook ook ook ook op op op op op op op op op op opdoemen opdracht opnieuw opsteekt oudere our over over over over overwinnen9 paar paden paginabreed palestijnse parijs per plaat plas positief prijzenfront prijzenslag prijzenslag produktie record regelmatig rekent rembrandt reportages reportages retour retourtje richt rijke rikaanse rinkelt rollen rome rond ruimenmeent rustige saai safety samen san santaclaus schandaal schijntje schilders schrijven slag slechte slechts soms soort spanning spanning spreken stadsverkeer state staten steden stephen stephen sterven stinkende straat straat stuiten syrische taak taal te te te te te te te te te te tegemoet tegen telefoon televisieschermen telkens ten ter terreurdaden terreurdaden terrorist terroristen texas thijn tien tien tien tien times times times toch toerisme toerisme toeristisch toeristische toeristische toon toonaangevende toronto treffende trends tribune trieste trouwens tulpen twijfelen uit uit uit uit uit uitbraak uitkraamt uitstraling uur vakantie vakantie vakantie vakkringen van van van van van van van van van van van van van van van van van van van van van van van van van vatten veel veel veel veel veel veel veel veel veilig veiligheid veranderen verandering verdienen verdient verduidelijkt verdwaalde verenigde verhalen verketterde verkocht verkopen vermeende verslaggevers vertonen verwikkeld vindt vlucht voeten volgend volgend volgens volgens volgens voor voor voor voor voor voor voor voor voor voor voor voor voor voor voor voor voor voor vooral vooral voorbeeld voorjaar voorkeur voornaamste voornamelijk vooroordelen vooropgesteld voortekenen voorts vorden vorig vraag vraag vriendelijke vrijwel vs vs vs waar waarop waarschijnlijk waaruit want was wat wat wat we we weer weerkerende weinig weinig wekelijkse wel wel wel welke welkome wellicht wervingscampagne wezen wij willen willen winnaar wolkendek wonen worden worden worden worden wordt wordt wordt wordt wordt york york york york york york york yorkamsterdam yorkers you zaad zakenmensen ze ze ze ze ze ze zeg zegeningen zegt zegt zeilvakanties zelf zelfverzekerd zich zichtbaar zie zien zij zij zijn zijn zijn zijn zijn zijn zijn zijn zijn zijn zijn zijn zijn zit zo zoals zoals zoals zoekt zou zouden zuidelijk zullen zullen zullen zullen zullen zwart ïandel"
http://resolver.kb.nl/resolve?urn=KBPERS01:003047005:mpeg21:a00192,"Stichting Algemeen Dagblad",1986-12-05,"1 111 1200 149 1834 189 1971 1988 3 3015 4 44 6 6 914 aan aan aan aan achter achterstand achtte af af af af ai al al alanden alleen alles alles als als amerikaanse anp avond awk b bedroeg bedroeg begin benaderd bereid beslissende bewerkstelligen bezette bij bij bleek blies bondscoach cadeautjes carla carla cecile cecile competitie dagen damesdoor dameszaalhandploeg dat dat ddr ddr ddrstoomwals de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de debacle deelgenomen dekeling demonstreert denken deuk deze deze deze deze deze dezer die dit dit doelpunt doelpunt doelpunten doelpuntenwk8riandbal doelvrouwe doet door door echter een een een een een een eerder eerste eigen eijl elkaar en en en en en en enkele er er er er erepodium evenementenhal foto fout geeft geen geen gehouden gehouden geitz gekozen gelegen gelijke gesmeerd geven gewonnen geworden gezien gisteravond gisteravond goed greep groningen groningen groningse grote had hannie heeft heeft helft helft het het het het het het het het het het het het het hollandtoernooi hongarije hongarije hongarije hoog hopen houden ieder ijsland in in in in in in in in in in in in in in in in inmiddels interlands is is is jaar kansen kansloos kansloos kecskemèthy kecskemèthy kecskemèthy keepster keepster kerssens kerssens kleintjens kok komen kon kracht krüger kwalificatie kwam laatste land laten laura laura leek leenen leenen leenenuitbraak leeuwarden leiding lopende luidde maand maar maar maar maar maar machine mag manier marge medaillekandidaten met met met met miniem minuten moest morgenavond muisstil na na na naar naar naar nauwelijks nederlaag nederland nederland nederland nederland nederlands nederlandse nederlandse nederlandse nederlandse nederlandse nederlandse nederlandse nederlandse negen niet niet noemen nog nogal nu olympische om om om omdat ook ook ook ook oostduitse oostduitse oostduitsers oostduitsland oostduitsland oostduitsland op op op op op oranje oranje oranje oranjedames oude over overigens parool pas peter petit ploeg ploeg ploeg ploeg ploeg ploeg ploeg ploeg ploeg ploeg ploeg poule povere programma publiek raad rechtstreekse recordinternational reden reeds reeds robben robben robben rust rustdag ruststand schieten scores seoel slordig speciaal speelden spel spelen spionagereis stand start staten sterk stond succesvol swifta te te te te te te te te te team team team tegen tegen tegen tegen tegen tegen tegen tekenen ten ten ten ten terugkomst tijdens tijdens titel toch toe toen toen toernooien toeschouwers topscores toren tot trainercoach tred trok tweede tweede tweede uiterst uitliep uitslag van van van van van van van van van van van van van van vaste velde velde velde veldet verenigde verloor verrassend verschoven vervangen vervangingen verviel vlot voigtlander volgend volgt voor voor voor voor voor voor voor voor voor voor voorbaat voorbereid voorbereiding voorbereiding voornaamste voorsprong vorige waarop waarvan wachten waren wedstrijd wedstrijd wedstrijd wedstrijd wedstrijd weer weer weg wendy werd werd werd wereldkampioenschap wereldkampioenschp werken wijze winstkansen winstkansen winstkansen wist wk zeker zelfde zelfvertrouwen zeven zich zich zich zich zijn zijn zijn zo zoals"
http://resolver.kb.nl/resolve?urn=KBPERS01:003047005:mpeg21:a00194,"Stichting Algemeen Dagblad",1986-12-05,"200 3015 aan aan al alandenuitleg als als amerika amerikaanse basketbalsters beter bevreesd bondscoach claes coach coach coach coach daden damesteam dat dat dat dat dat de de de de de de de de de de deze die doel drie duidelijk echter een een een een een en er ergens ervaring februari forse genoeg geweest gewezen gisteravond groep groningen groot hebben hellgren hellgren het het het het het het hij hij hoger hongarije hongarije hongarije hongarije ijsland ik in in in in in is is is jan jan je kan kecskemèthy kecskemèthy kecskemèthy kecskemèthy keer klein kleiner land leek legde maar maar meer merkte met mij mist moet morgenavond na nederlaag nederland nederlands niet niet niets nog nog oefentrip of om ons ontlopen onzer op op plekken ploeg prof pupillenteam ronden samen sla sleutelontmoeting sneller sneller softbalspeelsters spanjemaar speelde speelsters staten staten stelde sterker stond tactisch te tegen tegen tegen tegenstandster tijdens titelstrijd toch toch troost uit uit uitbraak van van van van van van van veel veel verenigde verenigde verklaarde verloren verschil verslaggevers verwacht verwachting volgens voor voor voor vooral voornamelijk was wel weliswaar weliswaar wereldkampioenschap werk wij wij wij winnen worden zag zag zegt zeker zijn zijn zijn zijn zoveel zwakke zweden"
http://resolver.kb.nl/resolve?urn=KBPERS01:003251002:mpeg21:a00134,"Stichting Algemeen Dagblad",1986-11-03,"01 01 01 01 1200 18 2 23 41 61 63 72 a aan aan aan aan af afgaat afgedankt afgelopen afstand afstand al al al alle alle alleen alleen allerminst als als als altijd alweer ambitieuze andere atteveld baas bal balm beetje beetje behoeft behoorlijk belangrijke belangrijke bemoeit beneden beroerd bespaard beter betere beukers beukers beukers bewaker bezet bezuren bij bij bij bijltje bijltje bijna bijna bijna binnen binnen binnengehaald bleek bleek blessure blijft blijft categorisch cees clubje combinatie conclusie cor cupavonturen daad daarentegen daarom dagen dal dan dat dat dat dat dat dat dat dat dat de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de de definitief definitief degradatie degradatieduel degradatieduel degradatiespook degraderenhaarlemexcelsior der dezelfde dicteert die die dient discussie dit dit dit dit dit divi doelman doemdenken doesburg doesburg doesburg door door door doorbreken doorne doorneveld doorneveld doorneveld doorneveld doorneveld doorneveld doorneveld doorneveld drie duel duel duizend echter echter echter echter edward edward een een een een een een een een een een een eenmaal eens eens eens eenvoudige eerste eindelijk en en en en ene enig enig enigszins enigszins enkelesteun er er er er eredivisie eredivisie europa europa excelsior excelsior excelsior excelsior excelsior excelsior excelsior excelsior excelsior excelsior excelsior excelsior excelsior foto gaan gaan gedegradeerd geeft geen geen geleden geluk genezen genomen gepakt gepeild gesuggereerd geurds gevoetbald gewoon glinsterende gooien goozen goozen goqlen gradatie groningen haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlem haarlemdoelman haarlemstadion haarlemtrainer hans hans heb hebben hebben hebben heeft heel henk henk het het het het het het het het het het het het het het het het het het hij hopeloze hut iets ik ik illustreerden impulsieve in in in in in in in in in in inancieel inmiddels inpakker inslag is is is is is is is is is jarenlang je johnny kans kans kanten karakteristiek keihard keihard keur keur keur keurige klaagzang klaagzang knokken komen komensombere komt krijgen krijgt kunnen kwam kwam kwijt laag laatste lang laten leenheer leenheer lege liet liet linge lopen los los maal maar maar maar maar maar mager magere maken manier matthei me media meer meer met met met met met met met met met meteen metgod metgod metgod middenmoters mij mist moeilijk moeilijk moest moet moet moet moetdoorneveld moeten moeten moniz na na na na naar naar naar naast nadat nadat nadrukkelijk name natuurlijk natuurlijk nederlaag neemt neer neer nestelen nesten net niet niet niet niet niet niet niet niet niets niets nog nog nog nog nog nog nogmaals nu nu of omdat omdat onbegrijpelijk onder ondervond ongetwijfeld onlangs ons onvoldoende onzin oogjes ook ook op opgekomen opgetogen opnieuw opnieuw overeind overwinning paar paar padt pas pas pas peeper piet ploeg ploeg ploeg ploeg plukt positie probeer productiefwaardoor produktieve promotie punten punten punten realiteit redt rep rep rijp roer rondt rpnd ruim ruimschoots rusten s schapendonk schapendonk schapendonk schapendonk schapendonk scheidsrechter schering schier scoren seizoen seizoen selectie selectie sen sestuur sfeerloos sfeerloze sie sitek situatie slag slechts slotfase slotfase snoei snoei snoei spel spelend spiraal sprake stelt sterker stuk sörensen sörensen te te te te te te te te te te tegen tegen tegen tegen tegenslag ter ter terecht tevreden tijden tijden tikt tlruisneder toch toch toch toelachén toen toeschouwers toeschouwers trainer trainer trainer trekker tribunes trok tussen twee twee tweede uit uit uit uit uit uitbraak uiterst uitstekend uitstekende uur vali van van van van van van van van van van van van van van van van van van van van van van van van van van van van van veelzeggend veld veldspel veranderd veranderd verdediging verdeeld verdiende verdient verhoudingen verkaik verleerd verlies verlosser verzuimt via voetballen volendam volgelingen volgende voor voor voor voor voor voor voor voor voor voorstaan voortreffelijke voorzitter vorige vos vrijwel vroeg vuur waarop waart waren was was was was wasiman wasiman wasiman waslander wat we we we we we we we we we we we wedstrijd wedstrijden wedstrijdverloop week weer weg weg weigert weinig weken werd werk werken werten weten wilde woorden wullems wullems zaak zal zaterdagavond zeker zelf zelfs zelfs zelfs zich zich zich zich zich ziet zijn zijn zijn zijn zijn zitten zo zodra zomer zon zonnegloren zwaar zware"
http://resolver.kb.nl/resolve?urn=KBPERS01:003210004:mpeg21:a00065,"Stichting Algemeen Dagblad",1986-01-06,"13 14 23000 29 30000 5400 5eer 80 aan aan aan aanwezig activiteit aldus amerikaanse ap arbeider arkansas arts as auto autoriteiten autoriteiten autoweg barstte beide bevolkte bied bogota boven co cuatie cuatie dan dat dat dat de de de de de de de de de de de de de de de de de de de de de de de de de de del del dg die die dood door door dorpen dorpen dorzending dun e een een een een een een een een een een een eerste en en en en enkele er eva evacuatie evain faiek g gaan gaat gaat gaf gebeurde gebied gegeven geigerteller gelegen gelegen geno gewond gewonden gifwolk gifwolk goed grei hadden hebben heeft heid hen het het het het het het het het het hexafluoridc hoge hoger huid huizen hun in in in in in in in irtatie is is itomobilisten jaar kans klachten klahoma lanj lawines lichte lombiaanse losmaakt lun maar maatregel me meer meeste men men mensen mensen mensen met met met met meter mo modder modderlawines modderlawines n n naar nabij nevado nevado ng nieuwe nieuwe november november ogen oklahoma om omdat omgekoen omgeving omgeving onderzoekt ongeluk ongeluk ontwikkelde op op op op op opdracht opdracht opgeroepen over pe pen radioactieve radioactieve radiouit raling ramp reden regelmatig regering regesen renst rgenomen rjng rom ruiz ruiz sinds smelten sneeuwkap speciale srboden staat staat stof streken stroom tank te tijdens toen toestand ton tot tot totaal totdat twee uit uitbarsting uitbraakt uraniumfabriek uraniumfabriek uur van van van van van van van van van van veelal ver verdwenencolombia verkeer verlaten veroorzaakte verwoestende vier vonden voor vorig vrees vrezen vulkaan vulkaan vulkaan vulkaan vulkaan vulkaan waarin waarin waren was weer werd werden werden werknemer wonen woneni zaterdag zich ziekenhuis zijden zijn"
